ID;language;trial;disp_type;target;distr;matching;key;n_targ;age;sex
44;Xhosa;26;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umtshayelo-broom.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umnwe-finger.PNG;1;[['s', 2.4644429683685303]];8;2;male
44;Xhosa;27;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umpu-gun.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umnqwazi-hat.PNG;1;[['s', 0.5388088226318359]];9;2;male
44;Xhosa;28;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umpu-gun.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/inja-dog.PNG;1;[['s', 0.7433691024780273]];10;2;male
44;Xhosa;29;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitulo-chair.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isihlangu-shoe.PNG;0;[['s', 0.34955310821533203]];11;2;male
44;Xhosa;30;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umpu-gun.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitulo-chair.PNG;1;[['s', 0.40334200859069824]];11;2;male
44;Xhosa;31;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umtshayelo-broom.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/ileri-ladder.PNG;1;[['s', 0.43929195404052734]];9;2;male
44;Xhosa;32;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/indlu-house.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umthi-tree.PNG;0;[['s', 0.38655591011047363]];11;2;male
44;Xhosa;33;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umpu-gun.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umtshayelo-broom.PNG;1;[['s', 0.3029649257659912]];8;2;male
44;Xhosa;34;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitulo-chair.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umthi-tree.PNG;0;[['s', 0.7761259078979492]];10;2;male
44;Xhosa;35;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isihlangu-shoe.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitulo-chair.PNG;1;[['s', 0.3423759937286377]];11;2;male
